original,match,score,product,product_code
amandes_décortiquées,amandes_non_décortiquées,91,almonds_with_shell,221
huile_d_arachide,huile_d_arachide,100,oil_groundnut,244
tourteaux_d_arachides,tourteaux_d_arachide,98,cake_groundnuts,245
huile_de_colza,huile_de_colza,100,oil_rapeseed,271
tourteaux_de_colza,tourteaux_de_colza,100,cake_rapeseed,272
huile_de_résidus_d_olive,huile_de_grignons_d_olive,82,oil_olive_residues,274
huile_de_carthame,huile_de_carthame,100,oil_safflower,281
tourteaux_de_carthame,tourteaux_de_carthame,100,cake_safflower,282
artichauts,artichauts,100,artichokes,366
concombres_et_cornichons,concombres_cornichons,93,cucumbers_and_gherkins,397
aubergines,aubergines,100,eggplants_aubergines_,399
oignons_secs,oignons_secs,100,onions_dry,403
ail,ail,100,garlic,406
carottes,cigarettes,78,cigarettes,828
légumes_en_cons_tempor,légumes_en_conserve_nda,76,vegetables_preserved_nes,472
bananes,bananes,100,bananas,486
jus_d_orange,jus_d_orange,100,juice_orange_single_strength,491
tang_mand_clément_satsma,tangerines_mandarines_clémentines_satsumas,73,tangerines_mandarins_clementines_satsumas,495
citrons_et_limes,citrons_et_limes,100,lemons_and_limes,497
pamplemousses_pomelos,pamplemousses_et_pomelos,93,grapefruit_inc_pomelos_,507
jus_de_pamplemousse,jus_de_pamplemousse,100,juice_grapefruit,509
abricots_secs,abricots_séchés,86,apricots_dry,527
raisins_secs,raisins_secs,100,raisins,561
ananas,ananas,100,pineapples,574
dattes,dattes,100,dates,577
dindons,dindes,77,turkeys,1079
chevaux,chevaux,100,horses,1096
graisse_de_chameau,grasa_de_camello,71,fat_camels,1129
peaux_de_lapin,peaux_nda,70,hides_nes,1216
miel,mils,75,millet,79
copra,copra,100,copra,251
onions_dry,onions_dry,100,onions_dry,403
bananas,bananas,100,bananas,486
pineapples,pineapples,100,pineapples,574
cocoa_beans,cocoa_beans,100,cocoa_beans,661
pigs,pigs,100,pigs,1034
offals_of_pigs_edible,offals_pigs_edible,92,offals_pigs_edible,1036
fat_of_pigs,fat_pigs,84,fat_pigs,1037
riz_décortiqué,riz_décortiqué,100,rice_husked,28
farine_de_millet,farine_de_viande,75,meal_meat,1173
son_de_millet,son_de_mil,87,bran_millet,81
patates_douces,patates_douces,100,sweet_potatoes,122
manioc,manioc,100,cassava,125
manioc_sec,manioc_séché,82,cassava_dried,128
farine_de_légumineuses,farine_de_légumineuses,100,flour_pulses,212
arachides_non_décortiq,kapok_graines_non_décortiquées,73,kapokseed_in_shell,311
huile_de_palme,huile_de_palme,100,oil_palm,257
huile_de_palmiste,huile_de_palmiste,100,oil_palm_kernel,258
tourteaux_de_palmiste,tourteaux_de_palmiste,100,cake_palm_kernel,259
huile_de_ricin,huile_de_ricin,100,oil_castor_beans,266
oignons_echalotes_frais,oignons_echalotes_frais,100,onions_shallots_green,402
agrumes_nda,jus_d_agrumes_nda,79,juice_citrus_single_strength,513
ananas_en_boîte,ananas_en_boîte,100,pineapples_canned,575
jus_d_ananas,jus_d_ananas,100,juice_pineapple,576
chocolat_et_aut_prep,chocolate_productos_nep,70,chocolate_products_nes,666
sweet_potatoes,sweet_potatoes,100,sweet_potatoes,122
cassava,cassava,100,cassava,125
tomatoes,tomatoes,100,tomatoes,388
pumpkins_squash_gourds,pumpkins_squash_and_gourds,92,pumpkins_squash_and_gourds,394
cucumbers_and_gherkins,cucumbers_and_gherkins,100,cucumbers_and_gherkins,397
chillies_peppers_green,chillies_and_peppers_green,92,chillies_and_peppers_green,401
beans_green,beans_green,100,beans_green,414
carrots,macarrones,71,macaroni,18
lemons_and_limes,lemons_and_limes,100,lemons_and_limes,497
mangoes,anes,73,asses,1107
fruit_tropical_fresh_nes,fruit_tropical_fresh_nes,100,fruit_tropical_fresh_nes,603
trigo,trigo,100,wheat,15
harina_de_trigo,harina_trigo,89,flour_wheat,16
salvado_de_trigo,salvado_de_trigo,100,bran_wheat,17
arroz_en_cáscara,arroz_cascara,83,rice_paddy,27
arroz_descascarado,arroz_descascarillado,92,rice_husked,28
arroz_elaborado,arroz_elaborado,100,rice_milled,31
salvado_de_arroz,salvado_de_mijo,77,bran_millet,81
cebada,cebada,100,barley,44
maíz,maiz,75,maize,56
germen_de_maíz,germen_maíz,88,germ_maize,57
harina_de_maíz,harina_maíz,88,flour_maize,58
salvado_de_maíz,salvado_de_maíz,100,bran_maize,59
aceite_de_maíz,aceite_maíz,88,oil_maize,60
tortas_oleag_de_maíz,torta_de_maíz,79,cake_maize,61
centeno,centeno,100,rye,71
avena,avena,100,oats,75
salvado_de_avena,salvado_de_alforfón,74,bran_buckwheat,91
mijo,mijo,100,millet,79
sorgo,sorgo,100,sorghum,83
salvado_de_sorgo,salvado_de_sorgo,100,bran_sorghum,85
alpiste,alpiste,100,canary_seed,101
cereales_nep,harina_cereales_nep,77,flour_cereals,111
patatas,papas_patatas,70,potatoes,116
frijoles_secos,frijoles_secos,100,beans_dry,176
guisantes_secos,guisantes_secos,100,peas_dry,187
garbanzos,garbanzos,100,chick_peas,191
lentejas,lentejas,100,lentils,201
caña_de_azúcar,penachos_caña_de_azúcar,76,cane_tops,630
azúcar_refinada,azúcar_refinada,100,sugar_refined,164
melazas,melazas,100,molasses,165
nueces,nueces_nep,75,nuts_nes,234
soja,soja,100,soybeans,236
aceite_de_soja,aceite_soja,88,oil_soybean,237
tortas_de_soja,torta_de_soja,96,cake_soybeans,238
maní_con_cáscara,anacardos_con_cáscara,76,cashew_nuts_with_shell,217
aceite_de_maní,aceite_maní,88,oil_groundnut,244
tortas_de_maní,torta_de_maní,96,cake_groundnuts,245
aceite_de_oliva,aceite_oliva_virgen,71,oil_olive_virgin,261
aceitunas_en_conserva,aceitunas_conservadas,86,olives_preserved,262
aceite_de_ricino,aceite_ricino,90,oil_castor_beans,266
semilla_de_girasol,semilla_de_girasol,100,sunflower_seed,267
aceite_de_girasol,aceite_girasol,90,oil_sunflower,268
tortas_de_girasol,torta_de_girasol,97,cake_sunflower,269
semillas_de_colza,semilla_de_mostaza,80,mustard_seed,292
aceite_de_colza,aceite_colza,89,oil_rapeseed,271
tortas_de_colza,torta_de_colza,97,cake_rapeseed,272
aceite_de_cártamo,aceite_cártamo_alazor,74,oil_safflower,281
tortas_de_cártamo,torta_de_cártamo_de_alazor,74,cake_safflower,282
semilla_de_algodón,semilla_de_algodón,100,cottonseed,329
aceite_de_algodón,aceite_algodón,90,oil_cottonseed,331
tortas_de_algodón,torta_de_semilla_de_algodón,77,cake_cottonseed,332
linaza,linaza,100,linseed,333
aceite_de_linaza,aceite_linaza,90,oil_linseed,334
tortas_de_linaza,torta_de_linaza,97,cake_linseed,335
alcachofas,alcachofas,100,artichokes,366
espárragos,esparragos,90,asparagus,367
tomates_pelados,tomates_pelados,100,tomatoes_peeled,392
pimientos_frescos,alimento_desechos,71,food_wastes,653
cebollas_secas,cebollas_secas,100,onions_dry,403
ajos,ajo,86,garlic,406
guisantes_verdes,guisantes_verdes,100,peas_green,417
zanahorias,zanahorias_y_nabos,71,carrots_and_turnips,426
hortalizas_frescas_nep,hortalizas_frescas_nep,100,vegetables_fresh_nes,463
hortalizas_deshidratadas,hortalizas_deshidratadas,100,vegetables_dehydrated,469
hortalizas_en_vinagre,hortalizas_en_vinagre,100,vegetables_in_vinegar,471
hortalizas_conserv_otras,hortalizas_conservadas_congeladas_,76,vegetables_preserved_frozen,475
hortalizas_congeladas,hortalizas_congeladas,100,vegetables_frozen,473
hortalizas_conserv_temp,hortalizas_conservadas_nep,86,vegetables_preserved_nes,472
sandías,sandías,100,watermelons,567
bananos,bananos,100,bananas,486
naranjas,naranjas,100,oranges,490
jugo_de_naranjas,jugo_naranja,86,juice_orange_single_strength,491
jugo_de_naranjas_concent,jugo_naranja_concentrado,83,juice_orange_concentrated,492
tang_mand_clement_satsma,tangerines_mandarins_clementines_satsumas,74,tangerines_mandarins_clementines_satsumas,495
limones_y_limas,limones_y_limas,100,lemons_and_limes,497
jugo_de_limones_concentr,jus_de_prune_concentré,74,juice_plum_concentrated,539
toronjas_y_pomelos,toronja_y_pomelo,94,grapefruit_inc_pomelos_,507
jugo_de_toronja_concentr,jugo_toronja_concentrado,88,juice_grapefruit_concentrated,510
manzanas,manzanas,100,apples,515
jugo_manzana_no_concentr,jugo_manzana_concentrada,88,juice_apple_concentrated,519
peras,peras,100,pears,521
membrillos,membrillos,100,quinces,523
albaricoques,albaricoques,100,apricots,526
albaricoques_secos,albaricoques_secos,100,apricots_dry,527
cerezas,cerezas,100,cherries,531
melocotones_y_nectarinas,melocotones_duraznos_y_nectarinas,84,peaches_and_nectarines,534
ciruelas_secas,ciruelas_secas,100,plums_dried_prunes_,537
fresas,fresas,100,strawberries,544
jugo_de_uvas,jugo_uva,80,juice_grape,562
vino,vino,100,wine,564
higos,higos,100,figs,569
higos_secos,higos_secos,100,figs_dried,570
mangos,asnos,73,asses,1107
aguacates,aguacates,100,avocados,572
piñas_en_lata,hortalizas_en_lata,71,vegetables_canned_nes,465
jugo_de_piña,jugo_piña,86,juice_pineapple,576
papayas,papayas,100,papayas,600
manteca_de_cacao,manteca_de_cerdo,81,lard,1043
cacao_en_polvo,suero_en_polvo,71,whey_dry,900
ganado_vacuno,ganado_vacuno,100,cattle,866
ovinos,ovinos,100,sheep,976
caprinos,caprinos,100,goats,1016
cerdos,cerdos,100,pigs,1034
gallinas,gallinas,100,chickens,1057
pavos,pavos,100,turkeys,1079
patos,patos,100,ducks,1068
caballos,caballos,100,horses,1096
despojos_comest_vacunos,despojos_comestibles_vacuno,88,offals_edible_cattle,868
despojos_comestib_ovinos,despojos_comestibles_ovino,92,offals_sheep_edible,978
despojos_comestib_cabra,despojos_comestibles_caprino,82,offals_edible_goats,1018
despojos_comestibl_cerdo,despojos_comestibles_cerdo,96,offals_pigs_edible,1036
despojos_de_caballo,despojos_higado_de_pollo,70,offals_liver_chicken,1059
grasas_de_vacunos,grasa_de_ganado_vacuno,77,fat_cattle,869
grasas_de_cerdo,grasa_de_cerdo,97,fat_pigs,1037
pieles_frescas_de_cabra,pelo_grueso_de_cabra,74,hair_goat_coarse,1031
