comtrade_code,faostat_code
310260,1360
310280,310280
310280,1360
310280,3102
310290,1360
310290,3102
310310,1375
310310,3103
310310,310310
310310,31031010
310310,31031090
310390,1375
310390,3103
310420,310420
310420,1386
310420,3104
310430,1386
310430,3104
310430,310430
310490,1386
310490,1400
310490,3104
310510,310620
310510,310610
310510,310510
310510,1397
310520,1397
310520,310520
310520,310610
310520,310620
310530,1397
310530,310530
310540,1397
310540,310540
310551,310551
310551,1397
310551,310500
310559,1397
310559,310500
310559,310559
310560,1397
310560,310560
380850,1442
380850,1418
380850,1417
380850,1416
380850,1357
380850,1418
380850,1417
380850,1416
380850,1357
380850,1442
380891,1443
380891,1443
380891,1416
380891,1357
380891,1353
380891,1309
380891,1416
380891,1443
380891,1353
380891,1309
380891,1416
380891,1357
380891,1353
380891,1309
380891,1357
380892,1357
380892,1444
380892,1417
380892,1331
380892,1352
380892,1417
380892,1357
380892,1352
380892,1331
380892,1444
380893,1445
380893,1418
380893,1357
380893,1320
380893,1357
380893,1418
380893,1320
380893,1445
380894,1357
380894,1419
380894,1446
380894,1357
380894,1419
380894,1446
380899,1419
380899,1357
380899,1345
380899,1446
380899,1419
380899,1357
380899,1345
380899,1446
410120,921
410120,922
410120,927
410120,929
410120,930
410120,1102
410120,1103
410120,1105
410120,1109
410120,1112
410120,957
410120,1109
410120,921
410120,922
410120,927
410120,929
410120,930
410120,1112
410120,957
410120,1102
410120,1103
410120,1105
410150,1112
410150,1109
410150,1105
410150,1102
410150,957
410150,1103
410150,929
410150,927
410150,922
410150,921
410150,930
410190,921
410190,927
410190,929
410190,930
410190,957
410190,1102
410190,1103
410190,1105
410190,1109
410190,1112
410190,922
410190,1109
410190,921
410190,922
410190,1112
410190,929
410190,930
410190,927
410190,1102
410190,1103
410190,1105
410190,957
410210,995
410229,995
410229,998
410320,1215
410320,1214
410330,1044
410330,1045
410330,1046
410330,1047
410390,1215
410390,1214
410390,1136
410390,1133
410390,1028
410390,1027
410390,1025
410390,1135
430180,1195
430180,1146
510219,1030
510220,1100
510220,1219
510529,1010
510529,1008
520100,328
530310,782
530390,782
530500,800
530500,788
530500,789
843210,2455001
843210,2455016
843230,2455002
843230,2455016
843240,2455003
843240,2455016
843340,2455005
843340,2455014
843351,2455004
843351,2455014
843352,2455007
843352,2455014
843353,2455006
843353,2455014
843410,2455008
843410,2455015
870110,2455009
870110,2455010
870110,2455009
870110,2455010
870130,2455009
870130,2455011
870130,2455012
870190,2455009
870190,2455011
870190,2455013
100630,29
100630,31
100830,101
100830,101
100890,103
100890,94
100890,92
100890,97
110290,104
110290,111
110290,38
110290,104
110290,38
110290,111
110319,111
110319,104
110319,38
110320,111
110320,104
110320,58
110320,38
110320,16
110419,46
110419,113
110422,76
110422,76
110423,113
110423,113
110429,46
110429,113
110429,46
110429,113
110620,126
110620,150
120799,339
120799,311
120799,263
121120,1293
121120,1293
121130,1293
121130,1293
121140,1293
121140,1293
121190,1293
121190,754
121190,748
121190,754
121190,748
121190,1293
121291,157
121291,157
121299,460
121299,161
121299,161
121299,460
121490,646
121490,651
121490,858
121490,859
121490,205
130219,755
130219,1293
150200,869
150200,1225
150600,1129
150600,1168
151211,268
151211,281
151219,268
151219,281
151590,340
151590,313
151590,306
151590,36
151590,264
151590,297
151790,1241
151790,1242
151790,1243
160100,874
160100,1041
170111,162
170111,163
170191,164
170191,164
170199,164
170199,164
170220,160
170220,160
190110,109
190110,109
190430,21
190430,21
190540,20
190540,22
190590,20
190590,22
190590,110
200190,623
200190,471
200190,262
200190,235
200390,451
200390,451
200490,262
200490,475
200799,623
200799,235
200811,246
200811,247
200891,623
200891,623
200911,491
