"regulation_code","regulation_name","regulation_short_name","comtrade_primary_code","commodity_short_name","hs_4d_code","hs_4d_name","hs_6d_code","hs_6d_name","fao_code","fao_name","bp","fao_parent_code","fao_primary_code","in_mapping_table","match"
"4010","Conveyer or transmission belts or belting, of vulcanised rubber","Conveyer of vulcanised rubber",,"Rubber","4010","Conveyor or transmission belts or belting, of vulcanised rubber","401039","Rubber; vulcanised, conveyor or transmission belts or belting, n.e.c. in heading no. 4010","NA","NA","NA","NA","NA","0","missing"
"4010","Conveyer or transmission belts or belting, of vulcanised rubber","Conveyer of vulcanised rubber",,"Rubber","4010","Conveyor or transmission belts or belting, of vulcanised rubber","401091","Rubber; vulcanised, conveyor or transmission belts or belting, of a width exceeding 20cm","NA","NA","NA","NA","NA","0","missing"
"4010","Conveyer or transmission belts or belting, of vulcanised rubber","Conveyer of vulcanised rubber",,"Rubber","4010","Conveyor or transmission belts or belting, of vulcanised rubber","401099","Rubber; vulcanised, conveyor or transmission belts or belting, of a width 20cm or less","NA","NA","NA","NA","NA","0","missing"
"4011","New pneumatic tyres, of rubber (other)","New pneumatic tyres of rubber",,"Rubber","4011","New pneumatic tyres, of rubber","401110","Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)","NA","NA","NA","NA","NA","0","missing"
"4011","New pneumatic tyres, of rubber (other)","New pneumatic tyres of rubber",,"Rubber","4011","New pneumatic tyres, of rubber","401120","Rubber; new pneumatic tyres, of a kind used on buses or lorries","NA","NA","NA","NA","NA","0","missing"
"4011","New pneumatic tyres, of rubber (other)","New pneumatic tyres of rubber",,"Rubber","4011","New pneumatic tyres, of rubber","401130","Rubber; new pneumatic tyres, of a kind used on aircraft","NA","NA","NA","NA","NA","0","missing"
"4011","New pneumatic tyres, of rubber (other)","New pneumatic tyres of rubber",,"Rubber","4011","New pneumatic tyres, of rubber","401140","Rubber; new pneumatic tyres, of a kind used on motorcycles","NA","NA","NA","NA","NA","0","missing"
"4011","New pneumatic tyres, of rubber (other)","New pneumatic tyres of rubber",,"Rubber","4011","New pneumatic tyres, of rubber","401150","Rubber; new pneumatic tyres, of a kind used on bicycles","NA","NA","NA","NA","NA","0","missing"
"4011","New pneumatic tyres, of rubber (other)","New pneumatic tyres of rubber",,"Rubber","4011","New pneumatic tyres, of rubber","401161","Rubber; new pneumatic tyres having a herring-bone or similar tread, of a kind used on agricultural or forestry vehicles and machines","NA","NA","NA","NA","NA","0","missing"
"4011","New pneumatic tyres, of rubber (other)","New pneumatic tyres of rubber",,"Rubber","4011","New pneumatic tyres, of rubber","401162","Rubber; new pneumatic tyres having a herring-bone or similar tread, of a kind used on construction or industrial handling vehicles and machines and having a rim size not exceeding 61cm","NA","NA","NA","NA","NA","0","missing"
"4011","New pneumatic tyres, of rubber (other)","New pneumatic tyres of rubber",,"Rubber","4011","New pneumatic tyres, of rubber","401163","Rubber; new pneumatic tyres having a herring-bone or similar tread, of a kind used on construction or industrial handling vehicles and machines and having a rim size exceeding 61cm","NA","NA","NA","NA","NA","0","missing"
"4011","New pneumatic tyres, of rubber (other)","New pneumatic tyres of rubber",,"Rubber","4011","New pneumatic tyres, of rubber","401169","Rubber; new pneumatic tyres having a herring-bone or similar tread, of a kind used on light industrial vehicles","NA","NA","NA","NA","NA","0","missing"
"4011","New pneumatic tyres, of rubber (other)","New pneumatic tyres of rubber",,"Rubber","4011","New pneumatic tyres, of rubber","401170","Rubber; new pneumatic tyres, of a kind used on agricultural or forestry vehicles and machines","NA","NA","NA","NA","NA","0","missing"
"4011","New pneumatic tyres, of rubber (other)","New pneumatic tyres of rubber",,"Rubber","4011","New pneumatic tyres, of rubber","401180","Rubber; new pneumatic tyres, of a kind used on construction, mining or industrial handling vehicles and machines","NA","NA","NA","NA","NA","0","missing"
"4011","New pneumatic tyres, of rubber (other)","New pneumatic tyres of rubber",,"Rubber","4011","New pneumatic tyres, of rubber","401190","Rubber; new pneumatic tyres, of a kind used on light commercial vehicles","NA","NA","NA","NA","NA","0","missing"
"4011","New pneumatic tyres, of rubber (other)","New pneumatic tyres of rubber",,"Rubber","4011","New pneumatic tyres, of rubber","401191","Rubber; new pneumatic tyres, having a ""herring bone"" or similar tread","NA","NA","NA","NA","NA","0","missing"
"4011","New pneumatic tyres, of rubber (other)","New pneumatic tyres of rubber",,"Rubber","4011","New pneumatic tyres, of rubber","401192","Rubber; new pneumatic tyres having other than a herring-bone or similar tread, of a kind used on agricultural or forestry vehicles and machines","NA","NA","NA","NA","NA","0","missing"
"4011","New pneumatic tyres, of rubber (other)","New pneumatic tyres of rubber",,"Rubber","4011","New pneumatic tyres, of rubber","401193","Rubber; new pneumatic tyres having other than a herring-bone or similar tread, of a kind used on construction or industrial handling vehicles and machines and having a rim size not exceeding 61cm","NA","NA","NA","NA","NA","0","missing"
"4011","New pneumatic tyres, of rubber (other)","New pneumatic tyres of rubber",,"Rubber","4011","New pneumatic tyres, of rubber","401194","Rubber; new pneumatic tyres having other than a herring-bone or similar tread, of a kind used on construction or industrial handling vehicles and machines and having a rim size exceeding 61cm","NA","NA","NA","NA","NA","0","missing"
"4011","New pneumatic tyres, of rubber (other)","New pneumatic tyres of rubber",,"Rubber","4011","New pneumatic tyres, of rubber","401199","Rubber; new pneumatic tyres having other than a herring-bone or similar tread, of a kind used on light industrial vehicles","NA","NA","NA","NA","NA","0","missing"
"4012","Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber","Retreaded or used pneumatic tyres of rubber",,"Rubber","4012","Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber","401210","Rubber; retreaded tyres","NA","NA","NA","NA","NA","0","missing"
"4012","Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber","Retreaded or used pneumatic tyres of rubber",,"Rubber","4012","Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber","401211","Retreaded tyres; of a kind used on motor cars (including station wagons and racing cars)","NA","NA","NA","NA","NA","0","missing"
"4012","Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber","Retreaded or used pneumatic tyres of rubber",,"Rubber","4012","Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber","401212","Retreaded tyres; of a kind used on motor buses or lorries","NA","NA","NA","NA","NA","0","missing"
"4012","Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber","Retreaded or used pneumatic tyres of rubber",,"Rubber","4012","Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber","401213","Retreaded tyres; of a kind used on aircraft","NA","NA","NA","NA","NA","0","missing"
"4012","Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber","Retreaded or used pneumatic tyres of rubber",,"Rubber","4012","Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber","401219","Retreaded tyres; other than of a kind used on motor cars (including station wagons and racing cars), buses and lorries and aircraft","NA","NA","NA","NA","NA","0","missing"
"4012","Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber","Retreaded or used pneumatic tyres of rubber",,"Rubber","4012","Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber","401220","Rubber; used pneumatic tyres","NA","NA","NA","NA","NA","0","missing"
"4012","Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber","Retreaded or used pneumatic tyres of rubber",,"Rubber","4012","Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber","401290","Rubber; tyres n.e.c. in heading no. 4012","NA","NA","NA","NA","NA","0","missing"
"4013","Inner tubes, of rubber","Inner tubes of rubber",,"Rubber","4013","Inner tubes, of rubber","401310","Rubber; inner tubes, of a kind used on motorcars (including station wagons and racing cars), buses and lorries","NA","NA","NA","NA","NA","0","missing"
"4013","Inner tubes, of rubber","Inner tubes of rubber",,"Rubber","4013","Inner tubes, of rubber","401320","Rubber; inner tubes, of a kind used on bicycles","NA","NA","NA","NA","NA","0","missing"
"4013","Inner tubes, of rubber","Inner tubes of rubber",,"Rubber","4013","Inner tubes, of rubber","401390","Rubber; inner tubes, n.e.c. in heading no. 4013","NA","NA","NA","NA","NA","0","missing"
"4015","Articles of apparel and clothing accessories (including gloves), for all purposes of vulcanised rubber other than hard rubber","Articles of apparel and clothing of vulcanised rubber",,"Rubber","4015","Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber","401511","Rubber; vulcanised (other than hard rubber), surgical gloves","NA","NA","NA","NA","NA","0","missing"
"4015","Articles of apparel and clothing accessories (including gloves), for all purposes of vulcanised rubber other than hard rubber","Articles of apparel and clothing of vulcanised rubber",,"Rubber","4015","Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber","401512","Rubber; vulcanised (other than hard rubber), gloves, of a kind used for medical, surgical, dental or veterinary purposes","NA","NA","NA","NA","NA","0","missing"
"4015","Articles of apparel and clothing accessories (including gloves), for all purposes of vulcanised rubber other than hard rubber","Articles of apparel and clothing of vulcanised rubber",,"Rubber","4015","Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber","401519","Rubber; vulcanised (other than hard rubber), gloves, mittens and mitts other than surgical gloves","NA","NA","NA","NA","NA","0","missing"
"4015","Articles of apparel and clothing accessories (including gloves), for all purposes of vulcanised rubber other than hard rubber","Articles of apparel and clothing of vulcanised rubber",,"Rubber","4015","Articles of apparel and clothing accessories (including gloves, mittens and mitts), for all purposes, of vulcanised rubber other than hard rubber","401590","Rubber; vulcanised (other than hard rubber), articles of apparel and clothing accessories (other than gloves, mittens and mitts)","NA","NA","NA","NA","NA","0","missing"
"4016","Articles of vulcanised rubber other than hard rubber, not elsewhere specified in chapter 40","Other articles of vulcanised rubber",,"Rubber","4016","Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40","401610","Rubber; vulcanised (other than hard rubber), moulded rubber mats and mats of non-rectangular shape made by cutting from the piece, of cellular rubber","NA","NA","NA","NA","NA","0","missing"
"4016","Articles of vulcanised rubber other than hard rubber, not elsewhere specified in chapter 40","Other articles of vulcanised rubber",,"Rubber","4016","Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40","401691","Rubber; vulcanised (other than hard rubber), floor coverings and mats, of non-cellular rubber","NA","NA","NA","NA","NA","0","missing"
"4016","Articles of vulcanised rubber other than hard rubber, not elsewhere specified in chapter 40","Other articles of vulcanised rubber",,"Rubber","4016","Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40","401692","Rubber; vulcanised (other than hard rubber), erasers, of non-cellular rubber","NA","NA","NA","NA","NA","0","missing"
"4016","Articles of vulcanised rubber other than hard rubber, not elsewhere specified in chapter 40","Other articles of vulcanised rubber",,"Rubber","4016","Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40","401693","Rubber; vulcanised (other than hard rubber), gaskets, washers and other seals, of non-cellular rubber","NA","NA","NA","NA","NA","0","missing"
"4016","Articles of vulcanised rubber other than hard rubber, not elsewhere specified in chapter 40","Other articles of vulcanised rubber",,"Rubber","4016","Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40","401694","Rubber; vulcanised (other than hard rubber), boat or dock fenders, whether or not inflatable, of non-cellular rubber","NA","NA","NA","NA","NA","0","missing"
"4016","Articles of vulcanised rubber other than hard rubber, not elsewhere specified in chapter 40","Other articles of vulcanised rubber",,"Rubber","4016","Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40","401695","Rubber; vulcanised (other than hard rubber), inflatable articles (other than boat or dock fenders), of non-cellular rubber","NA","NA","NA","NA","NA","0","missing"
"4016","Articles of vulcanised rubber other than hard rubber, not elsewhere specified in chapter 40","Other articles of vulcanised rubber",,"Rubber","4016","Articles of vulcanised rubber other than hard rubber, n.e.c. in chapter 40","401699","Rubber; vulcanised (other than hard rubber), articles n.e.c. in heading no. 4016, of non-cellular rubber","NA","NA","NA","NA","NA","0","missing"
"4017","Hard rubber (i.e. ebonite) in all forms including waste and scrap; articles of hard rubber","Hard rubber ebonite",,"Rubber","4017","Hard rubber (e.g. ebonite) in all forms, including waste and scrap; articles of hard rubber","401700","Rubber; ebonite and other hard rubbers in all forms, including waste and scrap, and articles of hard rubber","NA","NA","NA","NA","NA","0","missing"
"4401","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","Fuel wood",,"Wood","4401","Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chip or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","440110","Wood; for fuel, in logs, billets, twigs, faggots or similar forms, whether or not agglomerated","1864",,,,,,
"4401","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","Fuel wood",,"Wood","4401","Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chip or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","440111","Wood; for fuel, in logs, in billets, in twigs, in faggots or similar forms, whether or not agglomerated, coniferous","1864",,,,,,
"4401","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","Fuel wood",,"Wood","4401","Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chip or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","440112","Wood; for fuel, in logs, in billets, in twigs, in faggots or similar forms, whether or not agglomerated, non-coniferous","1864",,,,,,
"4401","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","Fuel wood",,"Wood","4401","Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chip or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","440121","Wood; for fuel, in chips or particles, coniferous, whether or not agglomerated","1696",,,,,,
"4401","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","Fuel wood",,"Wood","4401","Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chip or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","440122","Wood; for fuel, in chips or particles, non-coniferous, whether or not agglomerated","1696",,,,,,
"4401","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","Fuel wood",,"Wood","4401","Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chip or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","440130","Wood; sawdust, waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","1696",,,,,,
"4401","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","Fuel wood",,"Wood","4401","Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chip or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","440131","Wood; for fuel, sawdust and wood waste and scrap, agglomerated in wood pellets","1696",,,,,,
"4401","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","Fuel wood",,"Wood","4401","Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chip or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","440132","Wood; for fuel, sawdust and wood waste and scrap, agglomerated in wood briquettes","1696",,,,,,
"4401","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","Fuel wood",,"Wood","4401","Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chip or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","440139","Wood; for fuel, sawdust and wood waste and scrap, agglomerated in logs or similar forms, other than wood pellets or wood briquettes","1696",,,,,,
"4401","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","Fuel wood",,"Wood","4401","Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chip or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","440140","Wood; for fuel, sawdust and wood waste and scrap, not agglomerated","1696",,,,,,
"4401","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","Fuel wood",,"Wood","4401","Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chip or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","440141","Wood; for fuel, sawdust and wood waste and scrap, not agglomerated; sawdust","1696",,,,,,
"4401","Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","Fuel wood",,"Wood","4401","Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chip or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms","440149","Wood; for fuel, sawdust and wood waste and scrap, not agglomerated and not including sawdust","1696",,,,,,
"4402","Wood charcoal (including shell or nut charcoal), whether or not agglomerated","Wood charcoal",,"Wood","4402","Wood charcoal (including shell or nut charcoal), whether or not agglomerated","440200","Wood; charcoal (including shell or nut charcoal), whether or not agglomerated","1630",,,,,,
"4402","Wood charcoal (including shell or nut charcoal), whether or not agglomerated","Wood charcoal",,"Wood","4402","Wood charcoal (including shell or nut charcoal), whether or not agglomerated","440210","Wood; charcoal of bamboo, whether or not agglomerated","1630",,,,,,
"4402","Wood charcoal (including shell or nut charcoal), whether or not agglomerated","Wood charcoal",,"Wood","4402","Wood charcoal (including shell or nut charcoal), whether or not agglomerated","440220","Wood; charcoal of nut or shell, whether or not agglomerated","1630",,,,,,
"4402","Wood charcoal (including shell or nut charcoal), whether or not agglomerated","Wood charcoal",,"Wood","4402","Wood charcoal (including shell or nut charcoal), whether or not agglomerated","440290","Wood; charcoal of wood other than bamboo, nut or shell, whether or not agglomerated","1630",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440310","Wood; in the rough, whether or not stripped of bark or sapwood, or roughly squared; treated with paint, stains, creosote or other preservatives","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440311","Wood; coniferous species, in the rough, whether or not stripped of bark or sapwood, or roughly squared; treated with paint, stains, creosote or other preservatives","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440312","Wood; non-coniferous species, in the rough, whether or not stripped of bark or sapwood, or roughly squared; treated with paint, stains, creosote or other preservatives","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440320","Wood; coniferous, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440321","Wood; coniferous species, of pine (Pinus spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which the smallest cross-sectional dimension is 15 cm or more","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440322","Wood; coniferous species, of pine (Pinus spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which any cross-sectional dimension is less than 15 cm","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440323","Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which the smallest cross-sectional dimension is 15 cm or more","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440324","Wood; coniferous species, of fir (Abies spp.) and spruce (Picea spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which any cross-sectional dimension is less than 15 cm","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440325","Wood; coniferous species n.e.c. in headings 4403.21 or 4403.23, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which the smallest cross-sectional dimension is 15 cm or more","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440326","Wood; coniferous species n.e.c in headings 4403.22 or 4403.24, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which any cross-sectional dimension is less than 15 cm","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440331","Wood; dark red meranti, light red meranti, meranti bakau; in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440332","Wood; white lauan, white meranti, white seraya, yellow meranti, alan; in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440333","Wood; keruing, ramin, kapur, teak, jongkong, merbau, jelutong, and kempas; in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440334","Wood; okoume, obeche, sapelli, sipo, acajou d'afrique, makore, iroko; in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440335","Wood; tiama, mansonia, ilomba, dibetou, limba, azobe; in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440341","Wood, tropical; as specified in Subheading Note 2 to this Chapter, dark red meranti, light red meranti and meranti bakau, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440342","Wood, tropical; teak, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440349","Wood, tropical; other than dark red meranti, light red meranti meranti bakau and teak, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440391","Wood; oak, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440392","Wood; beech, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440393","Wood; of beech (Fagus spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which the smallest cross-sectional dimension is 15 cm or more","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440394","Wood; of beech (Fagus spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which any cross-sectional dimension is less than 15 cm","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440395","Wood; of birch (Betula spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which the smallest cross-sectional dimension is 15 cm or more","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440396","Wood; of birch (Betula spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which any cross-sectional dimension is less than 15 cm","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440397","Wood; of poplar and aspen (Populus spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440398","Wood; of eucalyptus (Eucalyptus spp.), in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated","1865",,,,,,
"4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","Industrial roundwood",,"Wood","4403","Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared","440399","Wood; in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, n.e.c. in heading no. 4403","1865",,,,,,
