,product_code,product_name,asso_lafo,product_group
154,441114,mdf > 9mm,1.0,
155,441119,fibreboard > 0.8g/cm3 covered,1.0,
156,441121,fibreboard 0.5-0.8 g/cm3 not covered,1.0,
157,441129,fibreboard 0.5-0.8 g/cm3 covered,1.0,
158,441131,fibreboard 0.3-0.5 g/cm3 not covered,1.0,
159,441139,fibreboard 0.3-0.5 g/cm3 covered,1.0,
160,441191,fibreboard 91 other,1.0,
161,441192,fibreboard > 0.8g/cm3 92,1.0,
162,441193,fibreboard 0.5-0.8 g/cm3 93,1.0,
163,441194,fibreboard 0.3-0.5 g/cm3 94,1.0,
164,441199,fibreboard 99 other,1.0,
165,441210,plywood of bamboo,1.0,
166,441211,plywood of meranti & other tropical,1.0,
167,441212,plywood 12 non coniferous,1.0,
168,441213,plywood 13 tropical,1.0,
169,441214,plywood 14 non coniferous,1.0,
170,441219,plywood 19,1.0,
171,441221,plywood 21 with particle board,1.0,
172,441222,plywood 22 non coniferous and tropical,1.0,
173,441223,plywood 23 with particle board,1.0,
174,441229,plywood 29 ,1.0,
175,441231,plywood 31 tropical,1.0,
176,441232,plywood 32 non coniferous,1.0,
177,441233,plywood 33 non coniferous,1.0,
178,441234,plywood 34 non coniferous,1.0,
179,441239,plywood 39 coniferous,1.0,
180,441241,plywood 41 tropical,1.0,
181,441242,lvl 42,1.0,
182,441249,lvl 49,1.0,
183,441251,blockboard tropical,1.0,
184,441252,blockboard non coniferous,1.0,
185,441259,blockboard coniferous,1.0,
186,441291,plywood 91 tropical,1.0,
187,441292,plywood 92 non coniferous,1.0,
188,441293,plywood 93 coniferous with particle board,1.0,
189,441294,blockboard 94,1.0,
190,441299,plywood 99 coniferous,1.0,
191,441520,wood pallets and box pallets,1.0,
192,441875,wood assembled flooring panels,1.0,
193,441899,builders joinery - others,1.0,
194,442199,wood frames,1.0,
195,940330,wooden furniture 30,1.0,
196,940340,wooden furniture 40,1.0,
197,940350,wooden furniture 50,1.0,
198,940360,wooden furniture 60,1.0,
199,940610,prefabricated buildings of wood,1.0,
200,94039030,wooden furniture 9030,1.0,
201,4806,,,paper and paperboard
202,4807,,,paper and paperboard
203,4808,,,paper and paperboard
204,4809,,,paper and paperboard
205,4812,,,paper and paperboard
206,4813,,,paper and paperboard
207,4814,,,paper and paperboard
